file_name,file_path,bpm,key,genres,genre_confidence_scores,sentiment,subject_matter,transcribed_text
A Beacon of Hope.mp3,c:\Python39\audiodetect\vocals\Vocals\A Beacon of Hope.mp3,95.703125,D major,"['guitar', 'vocal', 'female', 'singing', 'slow']","[0.5092698, 0.3233298, 0.25438255, 0.24055085, 0.21358222]","{'neg': 0.082, 'neu': 0.726, 'pos': 0.193, 'compound': 0.9246}",['love'],in this bodes no walls are made moves very thin man needs how's the food in with ms lewis moves inland in new around when though these verses says the n. in the cities in this man's land gain ne s. sag anne nash unknown man then the the him no i am a laugh laugh man on me then the man's the t. in new love me and will then where are all mean no man i'm glad that lonely well while a smash in a game then i'll add a lamb new slap the lahaye
A Beacon of Hope.wav,c:\Python39\audiodetect\vocals\Vocals\A Beacon of Hope.wav,95.703125,D major,"['guitar', 'vocal', 'female', 'singing', 'slow']","[0.5092698, 0.3233298, 0.25438255, 0.24055085, 0.21358222]","{'neg': 0.082, 'neu': 0.726, 'pos': 0.193, 'compound': 0.9246}",['love'],in this bodes no walls are made moves very thin man needs how's the food in with ms lewis moves inland in new around when though these verses says the n. in the cities in this man's land gain ne s. sag anne nash unknown man then the the him no i am a laugh laugh man on me then the man's the t. in new love me and will then where are all mean no man i'm glad that lonely well while a smash in a game then i'll add a lamb new slap the lahaye
A Christmas Eve Tale.mp3,c:\Python39\audiodetect\vocals\Vocals\A Christmas Eve Tale.mp3,135.99917763157896,G major,"['guitar', 'male', 'male vocal', 'vocal', 'man']","[0.20566337, 0.1769308, 0.1646796, 0.15528043, 0.15339182]","{'neg': 0.082, 'neu': 0.828, 'pos': 0.09, 'compound': 0.4983}",[],on it and whispers of of of the adult and nobody out of the lives of women have an mole now why when i'm on with this problem with this inference that level of a new novel all they'd move within the mondays as they go well one hundred live by the way that they can see that i'm amazed by the way the way it is even though bob vance than that if mom i have heard of nah i might have had that set of gone wrong way and mad that in that phenomenon the law a row listen to vlad the verifies driver mcveigh this revive blow them out of bow wave of the window why they call like that that's all been as savages and rule out was that a depth found him initiated a man who ran on is what if it is a game where that than that on an ironic that when what a man that the man in laying up that gets magnified and loom over a five would've of view the most good it's velocity it's below one wants to my won the rear view of the year one of manages laying five irradiated what it lulu lived won't drop the lively and with half i knew him a moment it was my view say the more rapid than being on the horses they pay up and the whetstone it down and well ma'am batman and when
A Christmas Eve Tale.wav,c:\Python39\audiodetect\vocals\Vocals\A Christmas Eve Tale.wav,135.99917763157896,G major,"['guitar', 'male', 'male vocal', 'vocal', 'man']","[0.20566337, 0.1769308, 0.1646796, 0.15528043, 0.15339182]","{'neg': 0.082, 'neu': 0.828, 'pos': 0.09, 'compound': 0.4983}",[],on it and whispers of of of the adult and nobody out of the lives of women have an mole now why when i'm on with this problem with this inference that level of a new novel all they'd move within the mondays as they go well one hundred live by the way that they can see that i'm amazed by the way the way it is even though bob vance than that if mom i have heard of nah i might have had that set of gone wrong way and mad that in that phenomenon the law a row listen to vlad the verifies driver mcveigh this revive blow them out of bow wave of the window why they call like that that's all been as savages and rule out was that a depth found him initiated a man who ran on is what if it is a game where that than that on an ironic that when what a man that the man in laying up that gets magnified and loom over a five would've of view the most good it's velocity it's below one wants to my won the rear view of the year one of manages laying five irradiated what it lulu lived won't drop the lively and with half i knew him a moment it was my view say the more rapid than being on the horses they pay up and the whetstone it down and well ma'am batman and when
A Dance in the Snow.wav,c:\Python39\audiodetect\vocals\Vocals\A Dance in the Snow.wav,103.359375,G# major,"['female', 'woman', 'vocal', 'female vocal', 'singing']","[0.47164688, 0.34162813, 0.3385164, 0.254514, 0.23821594]","{'neg': 0.082, 'neu': 0.834, 'pos': 0.085, 'compound': 0.3612}",['work'],it says her par les against me in my view his knee in lanni it's noise you see it in hot day it was high and we're happy as high a lot playing piano and then line unmanned who bought the land men are used and let it run jesus saying he's the u. room where the say is the highest who has a hollow hung up lobbying an hour winds combined man the u. hm knew it and around whom we can mean listen no man can hand meets him when he used was in math and use a while you manly is that mount some nights you can do this job when you land slash and a half bob reluctance die who out her hand eighty the high that i had i says it donna playing it and agri in the hay and lobbying on wednesday outline the man up
A Gentle Night.mp3,c:\Python39\audiodetect\vocals\Vocals\A Gentle Night.mp3,117.45383522727273,G major,"['female', 'woman', 'vocal', 'opera', 'singing']","[0.4391156, 0.32189444, 0.2820531, 0.23790069, 0.20244077]","{'neg': 0.057, 'neu': 0.878, 'pos': 0.066, 'compound': 0.4588}",['love'],no opera love time nine long movies in only a time in man's it says it only and live home land mine and mine is being needed a whole hoyt is the man mean newsmen who it was a long time moving need to ca nomura and an then they an amendment imam the one hand man isn't long lulu and whom laying low what you loans an wounded isis it a a holy man what's see a lone mean noah a new know it man and man it need in need hosts seeing man leon wham need law huh uh huh hey who land haifa had high very high head
A Gift of Love.mp3,c:\Python39\audiodetect\vocals\Vocals\A Gift of Love.mp3,117.45383522727273,D major,"['female', 'woman', 'vocal', 'opera', 'singing']","[0.44123533, 0.31489736, 0.29290062, 0.25167793, 0.20289144]","{'neg': 0.019, 'neu': 0.899, 'pos': 0.082, 'compound': 0.8402}",['love'],it are it o. that and it is thus a lava and ash minute it columnist on the moon says she and herdsmen love with all men long she's not any noon is long this today in many june albee you wound you a name and hwa said after that bode what fog snow noon rings of youth of time and move him to vote isaac asimov some mob mapped out a hand moves along to welcome the u. land phoebe in elmo if have had idea and soon saloons the reminded around long that he and the needy it slows seeing not long and that carrying more than an when mean shoes in and this time should burn at the
A Heart Made of Steel.wav,c:\Python39\audiodetect\vocals\Vocals\A Heart Made of Steel.wav,123.046875,A major,"['guitar', 'vocal', 'slow', 'singing', 'female']","[0.35409364, 0.25919318, 0.22177282, 0.18066277, 0.17500815]","{'neg': 0.06, 'neu': 0.809, 'pos': 0.131, 'compound': 0.9172}",['love'],suits a blow all wall and no that's wong mei stealing my twelve man he's saying in natal they sing of its hand with sudden changes in the stock in that in nothin' and who needs to who i am gergen and listening to my aside because the man in the senate race in the smile that and what can that the us days picture in nashville for her and the columbia and contain who among us he was he nana or the machine who fought and that says she again one half second hand while liasson my and manhattan unless someone i have to maintain what he summarized santa is none of them as i am and listened and who that is mentioned in what the lion lola i'm not hide the search for when i love them and move ahead remove all living well who saw him lose those them and intransigent food and hope that someday i love still only women fall
A Kiss Beneath the Stars 2.wav,c:\Python39\audiodetect\vocals\Vocals\A Kiss Beneath the Stars 2.wav,123.046875,A# major,"['female', 'woman', 'vocal', 'female vocal', 'singing']","[0.42751142, 0.31620437, 0.3065261, 0.2180323, 0.21336988]","{'neg': 0.105, 'neu': 0.839, 'pos': 0.056, 'compound': -0.7296}","['love', 'work']",an unknown reason rules that we knew them use it as being land mine is lonely on june nine died in mind that and man the indians and long minutes mean when the noon and night in this smooth move who was used as loud as active bleeding out you and highly it hides a villa outmanned seeing two ounces none it's known love time next acid doesn't it is mainly mean that i'm in a man's job may sciences only in one long little mince alone merits men and men look hind when a decade and whew whew nasal lan news new clothing minutes and mafia allow this nuns man's land so high on hum
A Kiss Beneath the Stars.wav,c:\Python39\audiodetect\vocals\Vocals\A Kiss Beneath the Stars.wav,117.45383522727273,C major,"['female', 'vocal', 'woman', 'singing', 'female vocal']","[0.36082485, 0.29367846, 0.27325073, 0.20685396, 0.19019821]","{'neg': 0.056, 'neu': 0.853, 'pos': 0.091, 'compound': 0.5296}",['love'],i'm oh i need news in wounds womb with guns in moos c. n. poet maya isn't the only one year all night to learn new hey all things all news to ma'am we need this home but an soon you a thumbnail i'd have this room this june fifth home ma'am you i'm home most modest captive made in the upshot is five to deny issue the kronos at all and that in his tone eyes and my heart beats faster as a month so timing was off already and lost pull it also solutions are in don't fool fool moose on new year's worth it to a mob of matters you then food and move man worth a slow way in that's who we're where the a. t. and minute los they unknown low mention on ames said this so through the that higher
